X,Y,STANDORTNR,KENNZEICH,NAMENR,ART_DTSCH,ART_BOT,GATTUNG_DEUTSCH,GATTUNG,STRNAME,HAUSNR,ZUSATZ,PFLANZJAHR,STANDALTER,KRONEDURCH,STAMMUMFG,BAUMHOEHE,BEZIRK,EIGENTUEMER
13.289618317013199,52.6570527264596,5253,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1905.0,115.0,,236.0,,Reinickendorf,Land Berlin
13.2893875177317,52.657111930495795,5179,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.289359227977199,52.657183279286,5180,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1925.0,95.0,,239.0,20.0,Reinickendorf,Land Berlin
13.289503218691499,52.657214979923104,5252,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1910.0,110.0,,267.0,20.0,Reinickendorf,Land Berlin
13.2895036432941,52.657333886738,5251,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.289250911635499,52.65734145410401,5181,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1970.0,50.0,,79.0,,Reinickendorf,Land Berlin
13.2891865291167,52.6574060311561,5182,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1912.0,108.0,,220.0,,Reinickendorf,Land Berlin
13.2975988165588,52.6558687417255,081,02105-Str,HUBERTUSWEG,Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,Hubertusweg,1,,1945.0,75.0,,204.0,17.0,Reinickendorf,Land Berlin
13.2976331446191,52.65578800488171,045,02105-Str,HUBERTUSWEG,Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,Hubertusweg,60,,1990.0,30.0,,41.0,7.0,Reinickendorf,Land Berlin
13.297786176458,52.655802538358294,046,02105-Str,HUBERTUSWEG,Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,Hubertusweg,60,,1990.0,30.0,,31.0,5.0,Reinickendorf,Land Berlin
13.297861388143101,52.655890130306794,079,02105-Str,HUBERTUSWEG,Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,Hubertusweg,1,,1955.0,65.0,,251.0,20.0,Reinickendorf,Land Berlin
13.297989232876699,52.6559016016689,078,02105-Str,HUBERTUSWEG,Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,Hubertusweg,1,,1945.0,75.0,,236.0,20.0,Reinickendorf,Land Berlin
13.2981455768436,52.6558331638664,047,02105-Str,HUBERTUSWEG,Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,Hubertusweg,60,,1990.0,30.0,,31.0,6.0,Reinickendorf,Land Berlin
13.298252002109999,52.655922441072796,076,02105-Str,HUBERTUSWEG,Sumpf-Eiche,Quercus palustris,EICHE,QUERCUS,Hubertusweg,1,,2010.0,10.0,,25.0,5.0,Reinickendorf,Land Berlin
